,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
57118,UTA,57,12/02/18,Home,SAS,W,101,99,35,84,0.417,11,24,0.458,20,30,0.667,9,43,15,7,5,9,24,38,85,0.447,6,25,0.24,17,25,0.68,8,44,23,5,8,11,24
42106,ATL,42,12/01/18,Home,BRK,L,105,110,37,80,0.463,11,28,0.393,20,26,0.769,8,46,21,6,3,18,25,40,87,0.46,13,34,0.382,17,26,0.654,13,43,29,8,1,14,24
42108,BRK,42,12/01/18,Away,ATL,W,110,105,40,87,0.46,13,34,0.382,17,26,0.654,13,43,29,8,1,14,24,37,80,0.463,11,28,0.393,20,26,0.769,8,46,21,6,3,18,25
4093,CHO,40,12/01/18,Home,UTA,W,99,88,32,78,0.41,9,27,0.333,26,34,0.765,8,46,17,8,2,12,19,28,77,0.364,12,35,0.343,20,23,0.87,8,45,19,5,8,14,26
42111,CLE,42,12/01/18,Away,IND,L,95,97,37,85,0.435,7,34,0.206,14,19,0.737,9,46,19,12,5,11,15,39,85,0.459,10,21,0.476,9,12,0.75,6,44,16,5,4,14,18
42113,DEN,42,12/01/18,Home,MEM,W,87,78,27,70,0.386,7,22,0.318,26,32,0.813,12,47,15,8,3,14,18,30,77,0.39,7,24,0.292,11,14,0.786,8,36,17,8,5,14,28
43102,GSW,43,12/01/18,Away,MIL,W,108,94,44,79,0.557,5,15,0.333,15,18,0.833,10,43,28,7,3,11,13,36,85,0.424,11,28,0.393,11,12,0.917,8,33,21,9,6,12,20
41139,HOU,41,12/01/18,Away,PHO,W,112,95,39,94,0.415,15,47,0.319,19,22,0.864,14,53,18,11,4,11,14,37,80,0.463,14,33,0.424,7,9,0.778,4,38,27,5,3,19,19
42117,IND,42,12/01/18,Home,CLE,W,97,95,39,85,0.459,10,21,0.476,9,12,0.75,6,44,16,5,4,14,18,37,85,0.435,7,34,0.206,14,19,0.737,9,46,19,12,5,11,15
41143,MEM,41,12/01/18,Away,DEN,L,78,87,30,77,0.39,7,24,0.292,11,14,0.786,8,36,17,8,5,14,28,27,70,0.386,7,22,0.318,26,32,0.813,12,47,15,8,3,14,18
41145,MIL,41,12/01/18,Home,GSW,L,94,108,36,85,0.424,11,28,0.393,11,12,0.917,8,33,21,9,6,12,20,44,79,0.557,5,15,0.333,15,18,0.833,10,43,28,7,3,11,13
44107,MIN,44,12/01/18,Home,NYK,W,118,108,49,95,0.516,10,27,0.37,10,16,0.625,16,43,33,12,4,12,12,45,83,0.542,12,24,0.5,6,9,0.667,9,36,25,6,6,16,17
